tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0833436,movie,Couple débutant cherche couple initié,Couple débutant cherche couple initié,1,1976,,75,Adult,5.4,17
tt0833567,movie,Caresses infernales,Caresses infernales,1,1978,,79,Adult,5.1,22
tt0835824,movie,The Stalker 4,The Stalker 4,1,2004,,82,Drama,6.0,67
tt0835852,tvMovie,Sexual Revenge,Sexual Revenge,1,2004,,71,Drama,4.6,21
tt0852640,movie,Dream Kelly,Dream Kelly,1,2006,,,Adult,8.6,19
tt0876463,movie,"Heidi, Heida 2","Heidi, Heida 2",1,1996,,81,"Adult,Comedy",4.6,35
tt0897430,movie,The New Neighbors,The New Neighbors,1,2006,,159,"Adult,Comedy,Fantasy",8.1,31
tt0899080,movie,La petite garce drague sans culotte,La petite garce drague sans culotte,1,1978,,79,Adult,5.6,11
tt0906765,movie,The Order,The Order,1,2006,,125,"Adult,Adventure,Horror",5.0,29
tt0924429,movie,Apartment Wife: Ass Slave,Danchizuma shiri dorei,1,1985,,67,"Adult,Drama",4.7,10
tt0925288,movie,Silken Sleeves,Silken Sleeves,1,2005,,50,,6.7,16
tt0943960,movie,French Lieutenant's Boys,French Lieutenant's Boys,1,1984,,88,Adult,5.6,16
tt0943978,movie,Pipeline,Pipeline,1,1984,,66,Adult,7.8,11
tt0943980,movie,Rough Trades,Rough Trades,1,1977,,61,Adult,6.7,11
tt0943987,movie,Strictly Forbidden,Strictly Forbidden,1,1976,,75,"Adult,Fantasy",6.2,20
tt0944205,movie,Hothouse,Hothouse,1,1977,,62,Adult,6.6,15
tt0953887,movie,Eyes of a Stranger,Eyes of a Stranger,1,1970,,90,Adult,6.8,9
tt0953892,movie,High Riders,High Riders,1,1974,,60,Adult,4.6,9
tt0970833,movie,Queer FT 3,Queerft 3,1,2007,,54,Adult,6.2,35
tt0972549,movie,The Boys from Riverside Drive,The Boys from Riverside Drive,1,1977,,66,Adult,6.1,16
tt0989629,movie,Come Deadly,Come Deadly,1,1973,,60,"Adult,Horror,Mystery",3.9,70
tt10078844,movie,Healing Mate,Healing Mate,1,2014,,,"Adult,Drama,Romance",6.3,10
tt10087490,movie,The Influence of Sex on Dieting,The Influence of Sex on Dieting,1,2016,,90,"Adult,Drama",3.4,5
tt10097966,movie,Female Hostel 2,Female Hostel 2,1,2018,,,"Adult,Romance",7.7,9
tt10097970,movie,Female Hostel,Female Hostel,1,2017,,,"Adult,Romance",7.8,18
tt10098032,movie,Gang Rape,Gang Rape,1,2007,,70,"Adult,Drama",5.3,15
tt10101974,movie,One on One,One on One,1,2017,,,"Adult,Drama,Romance",5.2,10
tt10102164,movie,To Her,To Her,1,2017,,,Romance,7.3,29
tt10102174,movie,Younger Sister-in-law,Younger Sister-in-law,1,2018,,97,"Adult,Romance",7.5,11
tt10156250,movie,"Monica, Daughter of Mona","Monica, Daughter of Mona",1,1973,,78,Adult,3.6,8
tt10191672,movie,Full Service POV 7,Full Service POV 7,1,2018,,,Adult,8.0,5
tt1027020,movie,Danger in the Night,Danger in the Night,1,2006,,129,"Adult,Crime,Drama",4.7,10
tt1027671,movie,Teenage Bestsellers: Programme 252,Teenage Bestsellers: Programme 252,1,1970,,54,Adult,7.4,26
tt1029420,movie,Desires of the Devil,Desires of the Devil,1,1971,,60,"Adult,Horror",4.6,13
tt1034089,movie,Xana and Dax: When Opposites Attract,Xana and Dax: When Opposites Attract,1,2005,,46,"Adult,Documentary",5.4,39
tt1038020,movie,Garters and Lace,Garters and Lace,1,1980,,69,Adult,4.6,9
tt1051865,movie,Waves,Amwaj,1,1971,,72,"Drama,Music,Musical",5.0,7
tt10571446,movie,Liebling der Schwiegermütter,Liebling der Schwiegermütter,1,1979,,87,Adult,7.5,8
tt10580164,movie,Love Shots,Love Shots,1,2019,,104,"Adult,Drama,Romance",3.4,22
tt1059974,movie,Times Square Strip,Times Square Strip,1,1982,,73,"Adult,Drama",6.6,13
tt10623034,movie,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,1,2012,,152,"Adult,Animation,Drama",7.4,43
tt1070837,movie,Performance,Performance,1,1981,,87,Adult,6.1,13
tt1073134,movie,Oona,Oona,1,1970,,65,Romance,4.1,11
tt10808544,movie,Teenage Lesbian,Teenage Lesbian,1,2019,,183,"Adult,Comedy,Drama",7.1,144
tt10854262,movie,Cicciolina il giorno dopo - Orgia nucleare,Cicciolina il giorno dopo - Orgia nucleare,1,1984,,54,Adult,2.6,7
