Title,Year,Genres,Rating,Votes
Her Night of Romance,1924.0,"Comedy,Romance",6.8,312
The Heritage of the Desert,1924.0,"Romance,Western",6.4,19
L'inhumaine,1924.0,"Drama,Mystery,Romance",7.2,1119
The Iron Horse,1924.0,"Drama,History,Romance",7.2,2556
Isn't Life Wonderful,1924.0,"Drama,Romance",6.8,428
Janice Meredith,1924.0,"Drama,History,Romance",5.5,728
Kentucky Days,1923.0,"Adventure,Drama,Romance",2.5,20
Love and Glory,1924.0,"Drama,Romance",5.0,13
The Lover of Camille,1924.0,"Drama,Romance",7.2,51
Manhattan,1924.0,"Adventure,Comedy,Romance",7.1,44
Michael,1924.0,"Drama,Romance",7.1,2138
Monsieur Beaucaire,1924.0,"Drama,Romance",6.0,517
Mustalaishurmaaja,1929.0,"Drama,Romance",6.4,83
Neobychainye priklyucheniya mistera Vesta v strane bolshevikov,1924.0,"Comedy,Fantasy,Romance",6.4,1159
The Net,1923.0,"Crime,Drama,Romance",6.9,62
The Next Corner,1924.0,"Drama,Romance",5.2,18
Nju - Eine unverstandene Frau,1924.0,"Drama,Romance",6.1,123
Pal o' Mine,1924.0,"Drama,Romance",5.6,17
Papirosnitsa ot Mosselproma,1924.0,"Comedy,Romance",6.6,214
The Price She Paid,1924.0,"Drama,Romance",6.1,25
The Reckless Age,1924.0,"Comedy,Drama,Romance",6.2,71
Revelation,1924.0,"Drama,Romance",6.2,18
The Rose of Paris,1924.0,"Drama,Romance",8.1,16
The Sea Hawk,1924.0,"Adventure,Drama,Romance",7.1,687
Second Youth,1924.0,"Comedy,Romance",5.7,17
Sherlock Jr.,1924.0,"Action,Comedy,Romance",8.2,60782
Tess of the D'Urbervilles,1924.0,"Drama,Romance",4.3,23
Three Weeks,1924.0,"Drama,Romance",6.5,17
Thy Name Is Woman,1924.0,"Drama,Romance",6.5,25
Til sæters,1924.0,"Drama,Romance",6.3,8
Venus of the South Seas,1924.0,"Drama,Romance",5.5,68
Wages of Virtue,1924.0,"Drama,Romance",7.1,23
The Warrens of Virginia,1924.0,"Drama,Romance",7.6,20
The White Sin,1924.0,"Drama,Romance",7.2,33
Wild Oranges,1924.0,"Drama,Romance",6.7,576
Woman to Woman,1923.0,"Drama,Romance",6.9,91
Yolanda,1924.0,Romance,8.4,162
The Adventurous Sex,1925.0,"Drama,Romance",5.8,36
The Air Mail,1925.0,"Action,Adventure,Romance",6.4,42
American Pluck,1925.0,"Action,Comedy,Romance",6.0,40
The Ancient Mariner,1925.0,"Drama,Fantasy,Romance",5.8,21
The Big Parade,1925.0,"Drama,Romance,War",7.9,7520
Das Bildnis,1923.0,"Drama,Fantasy,Romance",7.0,19
Black Cyclone,1925.0,"Drama,Romance,Western",6.2,57
Border Justice,1924.0,"Action,Adventure,Romance",6.1,24
The Calgary Stampede,1925.0,"Drama,Romance,Sport",6.3,84
Clash of the Wolves,1925.0,"Adventure,Family,Romance",6.5,452
Classified,1925.0,"Comedy,Romance",6.7,24
The Cloud Rider,1925.0,"Adventure,Drama,Romance",5.5,15
Cobra,1925.0,"Drama,Romance",6.4,794
The Coming of Amos,1925.0,"Drama,Romance",6.8,66
Dama de noche,1993.0,"Drama,Mystery,Romance",6.3,31
A Daughter of the Sioux,1925.0,"Action,Adventure,Romance",7.0,26
Déclassé,1925.0,"Drama,Romance",6.4,50
Don Q Son of Zorro,1925.0,"Adventure,Romance",6.8,587
The Dressmaker from Paris,1925.0,"Comedy,Drama,Romance",6.6,27
The Drug Store Cowboy,1925.0,"Action,Comedy,Romance",6.3,47
Eve's Secret,1925.0,"Comedy,Drama,Romance",6.8,15
Feu Mathias Pascal,1925.0,"Comedy,Drama,Romance",7.0,462
The Flame Fighter,1925.0,"Action,Adventure,Romance",6.2,27
The Freshman,1925.0,"Comedy,Family,Romance",7.5,6278
Galloping On,1925.0,"Action,Adventure,Romance",6.5,31
Glomdalsbruden,1926.0,"Drama,Romance",6.6,653
His People,1925.0,"Drama,Romance",7.6,49
Yevreyskoye schastye,1925.0,"Comedy,Romance",6.0,175
Kentucky Pride,1925.0,"Comedy,Drama,Romance",6.1,235
King of the Castle,1925.0,"Drama,Romance",7.8,16
The King on Main Street,1925.0,"Comedy,Romance",6.7,62
Lady of the Night,1925.0,"Drama,Romance",6.7,822
