Title,Year,Genres,Rating,Votes
I Remember Mama,1948,"Drama,Family",7.8,6242
Joe Palooka in Fighting Mad,1948,"Comedy,Drama,Family",6.2,34
Joe Palooka in Winner Take All,1948,"Comedy,Drama,Family",6.2,43
Jungle Jim,1948,"Adventure,Family",5.6,825
Kvarterets olycksfågel,1947,Family,5.0,48
Melody Time,1948,"Animation,Comedy,Family",6.1,7342
My Dog Rusty,1948,"Drama,Family",5.6,108
The Paleface,1948,"Comedy,Family,Western",6.6,4752
Pervoklassnitsa,1948,Family,7.2,151
Shaggy,1948,"Drama,Family",6.7,14
Sitting Pretty,1948,"Comedy,Family",7.4,2845
Smugglers' Cove,1948,"Comedy,Crime,Family",6.4,376
The Sun Comes Up,1949,"Drama,Family,Music",6.4,487
Who Killed 'Doc' Robbin?,1948,"Comedy,Crime,Family",4.6,366
The Adventures of Ichabod and Mr. Toad,1949,"Animation,Comedy,Family",6.8,18876
Batman and Robin,1949,"Action,Adventure,Family",5.9,2185
Blondie Hits the Jackpot,1949,"Comedy,Family",6.3,229
Blondie's Big Deal,1949,"Comedy,Family",6.4,246
Bomba on Panther Island,1949,"Adventure,Family",5.3,249
Bomba: The Jungle Boy,1949,"Adventure,Family",5.4,376
Challenge to Lassie,1949,"Drama,Family",6.2,692
A Connecticut Yankee in King Arthur's Court,1949,"Comedy,Family,Fantasy",6.5,2845
Francis,1950,"Comedy,Drama,Family",6.4,1519
Ghost of Zorro,1949,"Family,Western",6.0,189
Holiday Affair,1949,"Comedy,Drama,Family",7.1,7464
It Happens Every Spring,1949,"Comedy,Family,Sci-Fi",6.8,1972
Joe Palooka in the Big Fight,1949,"Comedy,Drama,Family",6.4,51
The Kid from Cleveland,1949,"Drama,Family,Sport",5.6,145
Leave It to Henry,1949,"Adventure,Comedy,Family",6.0,31
Little Women,1949,"Drama,Family,Romance",7.2,8553
Master Minds,1949,"Comedy,Family,Horror",6.0,423
Pappa Bom,1949,"Comedy,Drama,Family",5.1,135
Pikku pelimannista viulun kuninkaaksi,1949,"Biography,Drama,Family",4.7,26
Pippi Långstrump,1949,"Comedy,Family",5.4,120
The Red Pony,1949,"Drama,Family,Western",6.3,1266
La rosa di Bagdad,1949,"Animation,Family,Fantasy",6.6,315
Samson and Delilah,1949,"Drama,Family,History",6.8,9321
The Secret Garden,1949,"Drama,Family",7.5,3419
Shabnam,1949,"Drama,Family,Romance",6.9,46
So Dear to My Heart,1948,"Animation,Drama,Family",6.7,1762
Soy charro de Levita,1949,"Comedy,Family,Musical",7.7,78
The Story of Seabiscuit,1949,"Drama,Family,Romance",6.1,902
Alice in Wonderland,1949,"Adventure,Family,Fantasy",6.2,900
